2
Dumping Log 2,    start pg 3,   end pg 57
id    longitude    latitude    altitude    pitch    roll    yaw
321    109.3820600    23.7220710    528.0800    -1.14    5.52    164.14
322    109.3822900    23.7216570    531.4600    4.02    -8.53    161.10
323    109.3825400    23.7212620    533.6200    3.15    6.55    165.32
324    109.3827800    23.7208730    533.6500    3.01    -3.87    163.28
325    109.3830300    23.7204820    531.6900    2.00    -2.99    158.98
326    109.3832900    23.7200790    532.6200    0.98    -3.84    152.43
327    109.3835700    23.7196880    531.8700    2.33    0.77    160.77
328    109.3838200    23.7192880    531.0800    2.98    -0.09    165.47
329    109.3840900    23.7188990    529.6200    5.08    7.26    172.12
330    109.3843700    23.7185100    527.8200    5.88    7.14    179.47
331    109.3846300    23.7181280    525.0700    2.32    6.28    162.90
332    109.3848700    23.7177300    523.9800    3.60    1.01    169.23
333    109.3851000    23.7173210    522.4100    3.00    4.54    166.64
334    109.3853500    23.7169400    524.3300    3.08    0.34    161.54
335    109.3856300    23.7165450    522.2900    1.56    -7.59    155.76
336    109.3859100    23.7161560    519.9500    3.01    2.44    168.72
337    109.3861200    23.7157480    517.9500    2.36    -5.43    156.91
338    109.3863800    23.7153510    512.8500    -0.06    5.96    152.02
339    109.3866000    23.7149330    519.2800    3.16    -11.91    162.56
340    109.3868400    23.7145400    523.9500    2.46    -4.29    151.19
341    109.3871500    23.7141610    524.8300    2.58    2.37    157.53
342    109.3873800    23.7137570    525.3600    3.77    2.58    164.87
343    109.3876300    23.7133520    530.8100    3.35    -4.15    161.37
344    109.3879000    23.7129710    528.9400    1.26    -3.18    153.83
345    109.3882200    23.7126160    533.7100    6.00    9.11    168.27
346    109.3884700    23.7122170    530.3900    2.26    -3.36    170.92
347    109.3887300    23.7118130    527.9000    2.38    0.76    163.11
348    109.3889400    23.7113860    532.1100    0.97    -11.40    152.55
349    109.3892400    23.7109870    536.2300    4.32    4.75    169.74
350    109.3894800    23.7105940    533.9800    5.95    0.39    170.15
351    109.3897600    23.7102090    530.9500    2.85    2.01    168.54
352    109.3900000    23.7098160    535.2400    1.65    -8.46    152.79
353    109.3902800    23.7094350    532.9100    5.71    0.26    179.80
354    109.3904900    23.7090170    529.2500    -0.40    0.42    157.55
355    109.3907500    23.7086410    532.0100    4.24    -1.38    165.87
356    109.3910100    23.7082520    530.0600    4.96    -0.12    172.05
357    109.3912800    23.7078720    528.6800    4.24    4.30    169.69
358    109.3915300    23.7074660    527.1000    5.54    -1.36    179.54
359    109.3917900    23.7070830    522.0100    0.01    5.66    168.96
360    109.3926400    23.7076380    506.8200    -1.85    -6.45    309.96
361    109.3924300    23.7080840    500.9100    -2.83    -7.17    314.06
362    109.3921900    23.7085090    497.1300    3.35    -5.63    314.13
363    109.3919400    23.7088990    496.9400    8.19    2.74    327.88
364    109.3916800    23.7092950    500.3100    5.33    3.36    319.65
365    109.3914300    23.7096960    504.4700    6.11    -3.63    302.32
366    109.3912000    23.7101140    507.3100    3.92    -12.55    311.27
367    109.3909400    23.7105050    508.2600    8.05    1.91    328.45
368    109.3906600    23.7109070    508.3600    7.42    3.33    333.56
369    109.3903700    23.7113130    507.7100    2.81    2.31    326.51
370    109.3900900    23.7117100    508.5100    -0.46    6.36    312.51
371    109.3897900    23.7121450    510.4900    -0.08    3.29    304.94
372    109.3895600    23.7125210    510.8900    1.57    0.16    301.92
373    109.3893100    23.7129290    510.1900    2.56    -3.41    300.98
374    109.3890500    23.7133290    509.2900    1.52    -4.45    298.54
375    109.3888100    23.7137300    509.2800    0.93    -2.61    302.52
376    109.3885600    23.7141360    508.8600    1.59    -7.93    308.61
377    109.3882900    23.7145440    507.1100    2.27    -3.68    316.31
378    109.3880200    23.7149520    505.8100    5.05    -2.51    322.91
379    109.3877600    23.7153530    505.7900    4.63    -1.86    330.45
380    109.3875000    23.7157500    505.6600    3.84    0.45    326.77
381    109.3872200    23.7161450    505.3800    -0.68    -0.20    305.66
382    109.3869700    23.7165570    504.9800    2.20    -14.97    308.69
383    109.3867000    23.7169630    505.1800    1.38    -4.14    311.30
384    109.3864200    23.7173600    502.1800    7.28    2.27    327.11
385    109.3861400    23.7177790    499.9600    8.55    5.18    334.99
386    109.3858800    23.7181630    502.0900    0.86    -1.56    315.34
387    109.3856100    23.7185440    506.7700    5.62    4.00    301.27
388    109.3853700    23.7189660    507.4000    2.66    -9.03    306.33
389    109.3851200    23.7193760    505.3100    2.77    -6.45    313.37
390    109.3848400    23.7197860    503.6300    6.56    -0.14    324.80
391    109.3845900    23.7201750    503.2800    10.05    4.25    336.56
392    109.3843300    23.7205720    505.5200    6.38    -4.16    324.96
393    109.3840600    23.7209930    507.5100    1.86    -1.90    306.29
394    109.3838000    23.7214130    507.9900    1.99    -10.68    304.66
395    109.3835500    23.7217960    509.3800    2.30    -10.46    307.17
396    109.3832900    23.7221830    510.4800    5.73    -0.80    331.48
397    109.3830500    23.7225860    512.3500    1.59    -8.85    318.48
398    109.3828200    23.7229980    513.1100    1.71    -21.57    307.33
399    109.3825700    23.7233810    515.0400    2.81    -6.70    301.75
400    109.3822700    23.7237780    513.7600    3.48    -0.91    318.29
401    109.3820200    23.7241650    512.4000    7.38    4.22    332.40
402    109.3817600    23.7245640    513.4000    6.93    -4.51    327.20
403    109.3815000    23.7249510    514.1700    1.28    -14.54    303.45
404    109.3812300    23.7253650    514.5600    2.45    -8.00    314.06
405    109.3809900    23.7257600    514.9100    3.37    -11.71    319.39
406    109.3807400    23.7261450    515.2800    7.70    -0.79    330.87
407    109.3804900    23.7265380    517.1300    3.89    -8.49    319.17
408    109.3802300    23.7269250    518.6700    0.14    -6.49    299.49
409    109.3799700    23.7273160    519.3900    -0.20    -14.60    305.02
410    109.3797100    23.7276990    520.7700    0.82    -7.65    310.02
411    109.3794300    23.7280770    521.1900    7.31    1.21    326.19
412    109.3806600    23.7283590    513.7500    0.24    3.97    157.95
413    109.3809100    23.7279570    514.8900    0.13    -9.10    156.73
414    109.3811600    23.7275710    513.7500    1.86    -6.76    164.37
415    109.3814400    23.7271770    514.3300    -0.61    0.56    154.68
416    109.3816700    23.7267760    515.3400    1.58    -7.90    166.50
417    109.3819500    23.7264000    513.3300    0.85    7.52    157.53
418    109.3821700    23.7259980    513.9700    3.57    -3.68    168.81
419    109.3824400    23.7256160    511.4400    3.15    5.85    166.44
420    109.3827000    23.7252250    510.7000    1.60    -8.05    164.60
421    109.3829500    23.7248420    508.3500    0.24    -5.66    152.58
422    109.3832500    23.7244300    505.2800    2.08    -2.50    167.66
423    109.3834900    23.7240560    506.1200    3.23    4.67    160.77
424    109.3837600    23.7236630    504.0100    4.22    1.67    172.22
425    109.3839900    23.7232460    506.4600    -0.58    -1.85    159.21
426    109.3842500    23.7228570    507.2500    4.97    0.43    176.85
427    109.3845200    23.7224750    505.2500    1.29    4.43    166.19
428    109.3847800    23.7220780    505.1700    4.50    -6.67    168.98
429    109.3850100    23.7216760    508.0900    0.05    -4.25    156.53
430    109.3852900    23.7213000    508.3000    3.99    3.08    164.37
431    109.3855000    23.7208810    511.2100    2.84    -2.95    161.23
432    109.3858000    23.7205240    514.1600    5.28    7.12    171.52
433    109.3860300    23.7201270    513.8600    1.86    -2.09    167.29
